,,blocks,,,,,,blocks,,,,,,,,,,
matAdd,side,4,128,1024,,matAddRow,side,4,128,1024,,,,,,,,
,16,0.0489,0.2452,11.4585,,,16,0.0461,0.1588,5.9878,,,,,,,,
,32,0.0471,0.2471,11.3174,,,32,0.0502,0.1627,6.0947,,,,,,,,
,64,0.0579,0.2671,14.0254,,,64,0.0702,0.4116,15.152,,,,,,,,
,128,0.0663,0.3046,14.0977,,,128,0.1168,0.8621,18.5319,,,,,,,,
,256,0.253,0.4604,14.2673,,,256,0.3864,2.8326,32.9834,,,,,,,,
,512,0.9065,1.1859,15.1786,,,512,1.7042,10.4457,90.8447,,,,,,,,
,1024,2.7624,3.0037,18.465,,,1024,5.5301,41.5804,236.192,,,,,,,,
,2048,11.0354,10.9825,27.3776,,,2048,22.8159,161.988,517.068,,,,,,,,
,4096,47.336,43.8239,54.4158,,,4096,84.2398,342.628,2059.54,,,,,,,,
,8192,160.358,165.419,166.269,,,8192,325.036,1190.5,8295.45,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,blocks,,,,,,blocks,,,,,,,,,,
matAddCol,side,4,128,1024,,dgemv,side,4,128,1024,,,,,,,,
,16,0.046,0.1494,5.9944,,,16,0.0858,0.2099,6.4565,,,,,,,,
,32,0.0595,0.1456,6.0508,,,32,0.0787,0.3009,7.0515,,,,,,,,
,64,0.0751,0.4542,15.3442,,,64,0.245,0.7289,26.1883,,,,,,,,
,128,0.1376,1.0173,19.3341,,,128,0.639,6.4806,62.3948,,,,,,,,
,256,0.45,3.2339,35.5647,,,256,1.6574,25.0543,194.322,,,,,,,,
,512,1.7824,12.146,101.78,,,512,6.4445,100.476,338.366,,,,,,,,
,1024,7.3921,63.9701,396.694,,,1024,25.6041,283.843,1151.56,,,,,,,,
,2048,29.4859,246.137,1267.08,,,2048,102.255,589.754,4598.22,,,,,,,,
,4096,116.55,668.911,5072.17,,,4096,305.389,2411.96,19614.5,,,,,,,,
,8192,387.007,2664.54,20345.4,,,8192,601.185,18126.7,92852.2,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
